,Unnamed: 0,region,sales_price,bedroom,bathroom,parking,dimensions,latitude,longitude,mean_price,std_price,price_meter,average
0,0,"Vila Mariana, Sao Paulo",1900000,4,2,3,220,-23.5837,-46.6327408242069,3831617.27837838,57698436.8535569,8636.36363636364,10752.8909823284
1,1,"Jardins, Sao Paulo",305000,1,1,3,28,-22.3436278,-49.0169154,1086111.02362205,1256021.80050732,10892.8571428571,11843.3035711004
2,2,"Pinheiros, Sao Paulo",2600000,4,6,4,191,-23.567249,-46.7019515,9498833.46488294,133935791.599595,13612.5654450262,11657.2479284877
3,4,"Bela Vista, Sao Paulo",175000,1,1,4,12,-23.5622095,-46.6477664878894,764672.640275387,602466.825978067,14583.3333333333,8904.73187153836
4,5,"Itaim Bibi, Sao Paulo",750000,1,1,4,38,-23.6015117,-46.6852079877868,8912909.01339286,100018534.494108,19736.8421052632,15011.4003739799
5,8,"Brooklin, Sao Paulo",880000,2,2,2,70,-23.6268017,-46.6881279,1313120.3120155,827255.463301132,12571.4285714286,11250.0325940017
6,9,"Chacara Inglesa, Sao Paulo",1075000,2,2,2,99,-23.608307,-46.6323198,3035931.74766355,16223141.8165555,10858.5858585859,9202.93926679169
7,12,"Vila Carrao, Sao Paulo",350000,2,1,2,50,-23.5515305,-46.5377907689404,27027165.0,116860327.449608,7000.0,6529.46936787559
8,13,"Vila Pompeia, Sao Paulo",520000,2,1,2,60,-22.1088293,-50.1720753,935656.686567164,410822.613181909,8666.66666666667,9428.96225701311
9,14,"Itaim Bibi, Sao Paulo",225000,1,1,2,29,-23.6015117,-46.6852079877868,8912909.01339286,100018534.494108,7758.62068965517,15011.4003739799
10,16,"Parque Arariba, Sao Paulo",209000,1,1,2,41,-23.6393583,-46.7508121893928,203733.333333333,4861.73534740789,5097.56097560976,4969.10569105691
11,17,"Pompeia, Sao Paulo",460000,2,2,2,60,-22.1088293,-50.1720753,957891.180257511,490757.041916436,7666.66666666667,9587.72284680743
12,18,"Vila Leopoldina, Sao Paulo",640000,2,1,2,70,-23.530072,-46.734319333134,1256080.93650794,827884.992937711,9142.85714285714,9517.83987380299
13,20,"Brooklin, Sao Paulo",1300000,4,3,2,139,-23.6268017,-46.6881279,1313120.3120155,827255.463301132,9352.51798561151,11250.0325940017
14,21,"Chacara Klabin, Sao Paulo",700000,4,2,2,138,-23.5926813,-46.6306807,1868533.24,1215023.64262055,5072.46376811594,10640.1021002604
15,22,"Panamby, Sao Paulo",2095000,3,6,4,291,-23.5190045,-46.6676637,1459952.52884615,953463.062536221,7199.31271477663,7434.87860491516
16,24,"Higienopolis, Sao Paulo",2000000,3,2,2,160,-20.8368569,-49.3881547,2011172.37823834,1602435.53969756,12500.0,10146.6353707394
17,25,"Bela Vista, Sao Paulo",1380000,2,2,2,76,-23.5622095,-46.6477664878894,764672.640275387,602466.825978067,18157.8947368421,8904.73187153836
18,29,"Bras, Sao Paulo",285000,2,1,2,53,-23.54511365,-46.6163355306725,35546796.0327869,108230396.721568,5377.35849056604,6404.7438847057
19,30,"Vila Nova Conceicao, Sao Paulo",700000,1,2,2,50,-23.6350111,-46.641295,2955630.20350877,3300009.12304975,14000.0,17094.8567928045
20,32,"Vila Clementino, Sao Paulo",450000,3,2,2,69,-23.5980058,-46.6434179,998013.058823529,660247.464544192,6521.73913043478,10366.2119191966
21,33,"Paraiso, Sao Paulo",1500000,3,2,2,193,-21.015911,-48.776105,1902170.73076923,2255836.20716688,7772.0207253886,10680.1024605127
22,34,"Jardim Paulista, Sao Paulo",720000,3,2,2,100,-23.5674355,-46.6636917206251,4304926.06760204,66042742.7032011,7200.0,12319.3530995925
23,36,"Mirandopolis, Sao Paulo",926882,2,2,2,65,-21.1328313,-51.1029422,782627.470588235,345407.777175058,14259.7230769231,9547.26207356193
24,37,"Cambuci, Sao Paulo",330000,0,1,2,57,-23.5661285,-46.6136503087109,457189.062222222,258552.543348121,5789.47368421053,6824.35402782199
25,38,"Moema, Sao Paulo",530000,1,1,2,45,-23.59458475,-46.6618011333378,1703423.09970458,1595995.23534446,11777.7777777778,11915.5734933051
26,40,"Vila Moinho Velho, Sao Paulo",420000,3,1,2,74,-23.6044468,-46.5965558001386,566000.0,188240.435450149,5675.67567567568,5938.72100652658
27,41,"Vila Mariana, Sao Paulo",1800000,3,5,3,154,-23.5837,-46.6327408242069,3831617.27837838,57698436.8535569,11688.3116883117,10752.8909823284
28,42,"Vila Mariana, Sao Paulo",1170000,3,3,2,137,-23.5837,-46.6327408242069,3831617.27837838,57698436.8535569,8540.14598540146,10752.8909823284
29,44,"Centro, Sao Paulo",747000,2,2,2,110,39.7880179,-8.2910434,1005955.40816327,1791395.16170778,6790.90909090909,8151.98279474025
30,45,"Parque Munhoz, Sao Paulo",235000,2,1,2,48,-20.4136201,-50.011611,197836.111111111,48039.9902032688,4895.83333333333,4672.36953587582
31,46,"Cambuci, Sao Paulo",240000,1,1,2,50,-23.5661285,-46.6136503087109,457189.062222222,258552.543348121,4800.0,6824.35402782199
32,48,"Vila Sonia, Sao Paulo",254900,1,1,2,39,-23.59993525,-46.7391623181189,569081.818181818,245949.639731574,6535.89743589744,6514.75100026252
33,49,"Saude, Sao Paulo",350000,0,1,2,31,-23.61517795,-46.6433933431463,695812.168253968,370447.777904106,11290.3225806452,8483.63977850064
34,50,"Campo Belo, Sao Paulo",1600000,4,2,2,177,-23.62673055,-46.6694214293408,1590889.81924883,1481225.99833736,9039.54802259887,10388.3733034701
35,52,"Jardim Paulista, Sao Paulo",1300000,3,3,2,158,-23.5674355,-46.6636917206251,4304926.06760204,66042742.7032011,8227.84810126582,12319.3530995925
36,53,"Tatuape, Sao Paulo",9000000,5,5,9,625,-23.5402524,-46.5766424,4271430.15463918,55348723.6114065,14400.0,8044.85396350019
37,54,"Moema, Sao Paulo",657200,1,1,9,47,-23.59458475,-46.6618011333378,1703423.09970458,1595995.23534446,13982.9787234043,11915.5734933051
38,56,"Ipiranga, Sao Paulo",475000,2,2,4,67,-23.58927255,-46.6061620666765,6788486.45112782,97539752.7657012,7089.55223880597,7897.2726600197
39,57,"Jardins, Sao Paulo",510000,1,1,4,40,-22.3436278,-49.0169154,1086111.02362205,1256021.80050732,12750.0,11843.3035711004
40,58,"Vila Leopoldina, Sao Paulo",617000,3,2,2,62,-23.530072,-46.734319333134,1256080.93650794,827884.992937711,9951.61290322581,9517.83987380299
