,region,sales_price,bedroom,bathroom,parking,dimensions
0,"Vila  Mariana, Sao Paulo",1900000,4,2,3,220
1,"Jardins, Sao Paulo",305000,1,1,3,28
2,"Pinheiros, Sao Paulo",2600000,4,6,4,191
3,"Bela  Vista, Sao Paulo",560000,4,6,4,
4,"Bela  Vista, Sao Paulo",175000,1,1,4,12
5,"Itaim  Bibi, Sao Paulo",750000,1,1,4,38
6,"Saúde, Sao Paulo",1390000,3,4,2,125
7,"Campo  Belo, Sao Paulo",1395200,3,4,2,
8,"Brooklin, Sao Paulo",880000,2,2,2,70
9,"Chácara  Inglesa, Sao Paulo",1075000,2,2,2,99
10,"Jardim  Londrina, Sao Paulo",380000,1,1,2,48
11,"Morumbi, Sao Paulo",484600,1,1,2,
12,"Vila  Carrão, Sao Paulo",350000,2,1,2,50
13,"Vila  Pompéia, Sao Paulo",520000,2,1,2,60
14,"Itaim  Bibi, Sao Paulo",225000,1,1,2,29
15,"Vila  Mariana, Sao Paulo",1933600,1,1,2,
16,"Parque  Arariba, Sao Paulo",209000,1,1,2,41
17,"Pompéia, Sao Paulo",460000,2,2,2,60
18,"Vila  Leopoldina, Sao Paulo",640000,2,1,2,70
19,"Santo  Amaro, Sao Paulo",352900,2,1,2,
20,"Brooklin, Sao Paulo",1300000,4,3,2,139
21,"Chácara  Klabin, Sao Paulo",700000,4,2,2,138
22,"Panamby, Sao Paulo",2095000,3,6,4,291
23,"Vila  Maria, Sao Paulo",260100,3,6,4,
24,"Higienópolis, Sao Paulo",2000000,3,2,2,160
25,"Bela  Vista, Sao Paulo",1380000,2,2,2,76
26,"Jardim  Miriam, Sao Paulo",260000,2,1,2,56
27,"Alto  de  Pinheiros, Sao Paulo",1390000,2,1,2,
28,"Bela  Vista, Sao Paulo",3065000,4,3,2,227
29,"Brás, Sao Paulo",285000,2,1,2,53
30,"Vila  Nova  Conceição, Sao Paulo",700000,1,2,2,50
31,"Vila  Mariana, Sao Paulo",,1,2,2,50
32,"Vila  Clementino, Sao Paulo",450000,3,2,2,69
33,"Paraíso, Sao Paulo",1500000,3,2,2,193
34,"Jardim  Paulista, Sao Paulo",720000,3,2,2,100
35,"Vila  Madalena, Sao Paulo",1574700,3,2,2,
36,"Mirandópolis, Sao Paulo",926882,2,2,2,65
37,"Cambuci, Sao Paulo",330000,0,1,2,57
38,"Moema, Sao Paulo",530000,1,1,2,45
39,"Pinheiros, Sao Paulo",974700,1,1,2,
40,"Vila  Moinho  Velho, Sao Paulo",420000,3,1,2,74
41,"Vila  Mariana, Sao Paulo",1800000,3,5,3,154
42,"Vila  Mariana, Sao Paulo",1170000,3,3,2,137
43,"Vila  Madalena, Sao Paulo",2150000,3,3,2,
44,"Centro, Sao Paulo",747000,2,2,2,110
45,"Parque  Munhoz, Sao Paulo",235000,2,1,2,48
46,"Cambuci, Sao Paulo",240000,1,1,2,50
47,"Lapa, Sao Paulo",1033100,1,1,2,
48,"Vila  Sônia, Sao Paulo",254900,1,1,2,39
49,"Saúde, Sao Paulo",350000,0,1,2,31
50,"Campo  Belo, Sao Paulo",1600000,4,2,2,177
51,"Tatuapé, Sao Paulo",377700,4,2,2,
52,"Jardim  Paulista, Sao Paulo",1300000,3,3,2,158
53,"Tatuapé, Sao Paulo",9000000,5,5,9,625
54,"Moema, Sao Paulo",657200,1,1,9,47
55,"Moema, Sao Paulo",4700000,4,0,4,320
56,"Ipiranga, Sao Paulo",475000,2,2,4,67
57,"Jardins, Sao Paulo",510000,1,1,4,40
58,"Vila  Leopoldina, Sao Paulo",617000,3,2,2,62
59,"Saúde, Sao Paulo",585000,2,2,2,62
60,"Bela  Vista, Sao Paulo",310000,1,1,2,29
61,"Jardim  Celeste, Sao Paulo",280000,3,2,2,62
62,"Bela  Vista, Sao Paulo",310000,1,1,2,48
63,"Morumbi, Sao Paulo",349000,3,3,2,82
64,"Vila  Mascote, Sao Paulo",828000,3,2,3,116
65,"Chácara  Inglesa, Sao Paulo",298500,1,1,3,30
66,"Jardins, Sao Paulo",485000,1,1,3,27
67,"Água  Branca, Sao Paulo",490000,2,2,3,64
68,"Vila  Mascote, Sao Paulo",1100000,3,3,3,115
69,"Perdizes, Sao Paulo",1290000,3,4,2,121
70,"Higienópolis, Sao Paulo",2000000,4,3,2,220
71,"Vila  das  Mercês, Sao Paulo",520000,3,2,2,74
72,"Perdizes, Sao Paulo",2400000,4,1,3,263
